509132;502;500;17262;Cadca;3045361;0
509159;502;500;2769;Cierne;1708262;0
509167;502;500;409;DlhanadKysucou;331973;0
509183;502;500;719;Dunajov;478322;0
509213;502;500;0;Klokocov,okresCadca;1765692;0
509221;502;500;347;Klubina;478899;0
509230;502;500;1372;Korna;1115176;3201
509248;502;500;4523;KrasnonadKysucou;1580522;184
509299;502;500;1122;Makov;1311173;0
509311;502;500;1850;NovaBystrica;3250722;0
509337;502;500;1273;Olesna;1663462;0
509345;502;500;3642;Oscadnica;2597000;1478
509361;502;500;854;Podvysoka;383977;0
509396;502;500;529;Radostka;592560;0
509400;502;500;3395;Rakova;3508644;0
509451;502;500;3182;Skalite;1817835;0
509477;502;500;1792;StaraBystrica;1799059;0
509485;502;500;1799;Staskov;1482920;0
509493;502;500;2217;Svrcinovec;1067637;0
509507;502;500;5181;Turzovka;1854310;9446
509515;502;500;1732;VysokanadKysucou;3840410;6318
509523;502;500;1116;Zakopcie;1297744;0
509531;502;500;1325;ZborovnadBystricou;449155;0
