509132;502;500;2945;Cadca;2994989;4437
509159;502;500;2769;Cierne;1499712;0
509167;502;500;409;DlhanadKysucou;90634;0
509183;502;500;719;Dunajov;226848;0
509213;502;500;0;Klokocov,okresCadca;1755222;0
509221;502;500;347;Klubina;472818;0
509230;502;500;1372;Korna;1105828;3201
509248;502;500;4523;KrasnonadKysucou;1663229;184
509299;502;500;1122;Makov;1276438;0
509311;502;500;1850;NovaBystrica;3175779;0
509337;502;500;1273;Olesna;1691395;0
509345;502;500;3642;Oscadnica;2152139;0
509361;502;500;854;Podvysoka;381401;0
509396;502;500;529;Radostka;594162;0
509400;502;500;3395;Rakova;3441849;0
509451;502;500;3182;Skalite;1791522;0
509477;502;500;1792;StaraBystrica;1861359;0
509485;502;500;1799;Staskov;1470539;0
509493;502;500;2217;Svrcinovec;1020006;0
509507;502;500;5181;Turzovka;1765100;9446
509515;502;500;1732;VysokanadKysucou;2621207;6318
509523;502;500;1116;Zakopcie;1292957;0
509531;502;500;1325;ZborovnadBystricou;446055;0
